name	sex	wikipedia_url	jsp_url	recording_url	birth_date	birth_date_md	best_birth_date	best_birth_year	best_birth_month	best_birth_day	death_date	death_date_md	best_death_date	best_death_year	best_death_month	best_death_day	date	date_md	best_date	best_year	best_month	best_day	tagline	tagline_md	office	outcome	outcome_md	for	alt_for	notes	notes_md	+notes	+notes_md	unit	unit_md	location	location_md	friendly_location	country	adm1	adm2	adm3	adm4	best_location	best_country	best_adm1	best_adm2	best_adm3	best_adm4	sections	tags	birth_place	birth_place_md	rebaptism_date	rebaptism_date_md	baptism_date	baptism_date_md
Joel Franklin LeBaron	male	https://en.wikipedia.org/wiki/Joel_LeBaron			9 Jul 1923	9 Jul 1923	9 Jul 1923	1923.0	Jul	9.0	20 Aug 1972	20 Aug 1972	20 Aug 1972	1972.0	Aug	20.0	2 May 1944	2 May 1944	2 May 1944	1944	May	2.0			elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4709unse/page/n23)	['apostasy', 'opposition to the Church in teaching principles contrary to church beliefs']				A son of excommunicant Alma Dayer LeBaron, Sr.). He was murdered under orders from his brother, Ervil LeBaron, the leader of a rival polygamous sect.	[A son of excommunicant Alma Dayer LeBaron, Sr.](https://en.wikipedia.org/wiki/Church_of_the_Firstborn_(LeBaron_family)). He was murdered under orders from his brother, Ervil LeBaron, the leader of a rival polygamous sect.	Dublan First Ward, Juarez Stake, Mexican Mission	[Dublan First Ward, Juarez Stake](https://web.archive.org/web/20190603211706/https://mormonpolygamydocuments.org/wp-content/uploads/2014/12/MF0048.pdf), Mexican Mission	Colonia Dublán, Nuevo Casas Grandes, Chihuahua, Mexico	Colonia Dublán, Nuevo Casas Grandes, Chihuahua, Mexico	Colonia Dublán, Chihuahua, Mexico	Mexico	Chihuahua	Nuevo Casas Grandes	Colonia Dublán		Colonia Dublán, Nuevo Casas Grandes, Chihuahua, Mexico	Mexico	Chihuahua	Nuevo Casas Grandes	Colonia Dublán		['20th Century']	['improvement-era', '1944-sep']						
Clarence Palmer	male				6 May 1927	6 May 1927	6 May 1927	1927.0	May	6.0							7 May 1944	7 May 1944	7 May 1944	1944	May	7.0			teacher	excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Santa Monica Ward, Inglewood Stake	Santa Monica Ward, Inglewood Stake	Santa Monica, Los Angeles, California, United States	Santa Monica, Los Angeles, California, United States	Santa Monica, California	United States	California	Los Angeles	Santa Monica		Santa Monica, Los Angeles, California, United States	United States	California	Los Angeles	Santa Monica		['20th Century']	['improvement-era', '1944-dec']						
Vincent Bousfield	male				28 Feb 1895	28 Feb 1895	28 Feb 1895	1895.0	Feb	28.0							7 May 1944	7 May 1944	7 May 1944	1944	May	7.0			priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Santa Monica Ward, Inglewood Stake	Santa Monica Ward, Inglewood Stake	Santa Monica, Los Angeles, California, United States	Santa Monica, Los Angeles, California, United States	Santa Monica, California	United States	California	Los Angeles	Santa Monica		Santa Monica, Los Angeles, California, United States	United States	California	Los Angeles	Santa Monica		['20th Century']	['improvement-era', '1944-dec']						
Mary Alice Anderson McColl	female				5 Mar 1903	5 Mar 1903	5 Mar 1903	1903.0	Mar	5.0							15 May 1944	15 May 1944	15 May 1944	1944	May	15.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Redwood City Ward, San Francisco Stake	Redwood City Ward, San Francisco Stake	Redwood City, San Mateo, California, United States	Redwood City, San Mateo, California, United States	Redwood City, California	United States	California	San Mateo	Redwood City		Redwood City, San Mateo, California, United States	United States	California	San Mateo	Redwood City		['20th Century']	['improvement-era', '1944-dec']						
Mary Beneham Sherrill	female				19 Mar 1900	19 Mar 1900	19 Mar 1900	1900.0	Mar	19.0							20 May 1944	20 May 1944	20 May 1944	1944	May	20.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Bay City Branch, Texas Mission	Bay City Branch, Texas Mission	Bay City, Matagorda?, Texas?, United States	Bay City, Matagorda?, Texas?, United States	Bay City, Texas	United States	Texas?	Matagorda?	Bay City		Bay City, Matagorda, Texas, United States	United States	Texas	Matagorda	Bay City		['20th Century']	['improvement-era', '1944-dec']						
Grant G. Woodward	male				4 Aug 1899	4 Aug 1899	4 Aug 1899	1899.0	Aug	4.0							21 May 1944	21 May 1944	21 May 1944	1944	May	21.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4709unse/page/n23)							Reno Ward, Reno Stake	Reno Ward, Reno Stake	Reno, Washoe, Nevada, United States	Reno, Washoe, Nevada, United States	Reno, Nevada	United States	Nevada	Washoe	Reno		Reno, Washoe, Nevada, United States	United States	Nevada	Washoe	Reno		['20th Century']	['improvement-era', '1944-sep']						
Edna Isabell Rae Noble	female				18 Mar 1893	18 Mar 1893	18 Mar 1893	1893.0	Mar	18.0							1 Jun 1944	1 Jun 1944	1 Jun 1944	1944	Jun	1.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Wharton Branch, Texas Mission	Wharton Branch, Texas Mission	Wharton, Wharton?, Texas?, United States	Wharton, Wharton?, Texas?, United States	Wharton, Texas	United States	Texas?	Wharton?	Wharton		Wharton, Wharton, Texas, United States	United States	Texas	Wharton	Wharton		['20th Century']	['improvement-era', '1944-dec']						
Charles August Wall	male				30 Dec 1905	30 Dec 1905	30 Dec 1905	1905.0	Dec	30.0							4 Jun 1944	4 Jun 1944	4 Jun 1944	1944	Jun	4.0			priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Logan Tenth Ward, Cache Stake	Logan Tenth Ward, Cache Stake	Logan, Cache, Utah, United States	Logan, Cache, Utah, United States	Logan, Utah	United States	Utah	Cache	Logan		Logan, Cache, Utah, United States	United States	Utah	Cache	Logan		['20th Century']	['improvement-era', '1944-dec']						
Benjamin T. LeBaron	male				2 May 1913	2 May 1913	2 May 1913	1913.0	May	2.0							6 Jun 1944	6 Jun 1944	6 Jun 1944	1944	Jun	6.0			priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)					A son of excommunicant Alma Dayer LeBaron, Sr.).	[A son of excommunicant Alma Dayer LeBaron, Sr.](https://en.wikipedia.org/wiki/Church_of_the_Firstborn_(LeBaron_family)).	Mexican Mission	Mexican Mission	Mexico?	Mexico?	Mexico	Mexico?					Mexico	Mexico					['20th Century']	['improvement-era', '1944-dec']						
Doris Rogerson Gilmore	female				2 Jul 1911	2 Jul 1911	2 Jul 1911	1911.0	Jul	2.0							8 Jun 1944	8 Jun 1944	8 Jun 1944	1944	Jun	8.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Carlin Ward, Humboldt Stake	Carlin Ward, Humboldt Stake	Carlin?, Elko?, Nevada?, United States	Carlin?, Elko?, Nevada?, United States	Carlin, Nevada	United States	Nevada?	Elko?	Carlin?		Carlin, Elko, Nevada, United States	United States	Nevada	Elko	Carlin		['20th Century']	['improvement-era', '1944-dec']						
Alma Dayer LeBaron, Jr.	male				2 Apr 1918	2 Apr 1918	2 Apr 1918	1918.0	Apr	2.0							9 Jun 1944	9 Jun 1944	9 Jun 1944	1944	Jun	9.0	polygamous patriarch	polygamous patriarch	elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)					He founded a polygamous family in Mexico under the influence of excommunicant Joseph White Musser).	[He founded a polygamous family in Mexico under the influence of excommunicant Joseph White Musser](https://en.wikipedia.org/wiki/Church_of_the_Firstborn_(LeBaron_family)).	Mexican Mission	Mexican Mission	Mexico?	Mexico?	Mexico	Mexico?					Mexico	Mexico					['20th Century']	['improvement-era', '1944-dec']						
Ervil M. LeBaron	male	https://en.wikipedia.org/wiki/Ervil_LeBaron			22 Feb 1925	22 Feb 1925	22 Feb 1925	1925.0	Feb	22.0	15 Aug 1981	15 Aug 1981	15 Aug 1981	1981.0	Aug	15.0	6 or 9 Jun 1944	[6](https://archive.org/details/improvementera4709unse/page/n23) or [9](https://archive.org/details/improvementera4712unse/page/n55) Jun 1944	9 Jun 1944	1944	Jun	9.0	murderous polygamist, Church of the First Born of the Lamb of God founder	murderous polygamist, Church of the First Born of the Lamb of God founder	elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4709unse/page/n23)					He founded a faction of the LeBaron family, the _Church of the First Born of the Lamb of God_ , and ordered the murder of his rival, prior excommunicant Joel LeBaron, as well as numerous others. He was eventually convicted of murder in Utah and died in prison.	He founded a faction of the LeBaron family, the _Church of the First Born of the Lamb of God_, and ordered the murder of his rival, prior excommunicant Joel LeBaron, as well as numerous others. He was eventually convicted of murder in Utah and died in prison.	Juarez Ward, Juarez Stake	Juarez Ward, Juarez Stake	Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Colonia Juárez, Chihuahua, Mexico	Mexico	Chihuahua	Casas Grandes	Colonia Juárez		Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Mexico	Chihuahua	Casas Grandes	Colonia Juárez		['20th Century']	['improvement-era', '1944-sep', '1944-dec']						
Edmund Richard Guenther	male				11 Dec 1889	11 Dec 1889	11 Dec 1889	1889.0	Dec	11.0							10 Jun 1944	10 Jun 1944	10 Jun 1944	1944	Jun	10.0			seventy	excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Thirty-second Ward, Pioneer Stake	Thirty-second Ward, Pioneer Stake	Salt Lake City, Salt Lake, Utah, United States	[Salt Lake City, Salt Lake, Utah, United States](https://www.familysearch.org/wiki/en/Wards_and_Branches_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Pioneer_Stake,_Utah#Salt_Lake_City_32nd_Ward)	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-dec']						
Helen Dorothy Dudley Fuller	female				26 Mar 1911	26 Mar 1911	26 Mar 1911	1911.0	Mar	26.0							13 Jun 1944	13 Jun 1944	13 Jun 1944	1944	Jun	13.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							South Twentieth Ward, Ensign Stake	South Twentieth Ward, Ensign Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-dec']						
Lavetta Coleman Wall	female				18 Jan 1912	18 Jan 1912	18 Jan 1912	1912.0	Jan	18.0							15 Jun 1944	15 Jun 1944	15 Jun 1944	1944	Jun	15.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Logan Tenth Ward, Cache Stake	Logan Tenth Ward, Cache Stake	Logan, Cache, Utah, United States	Logan, Cache, Utah, United States	Logan, Utah	United States	Utah	Cache	Logan		Logan, Cache, Utah, United States	United States	Utah	Cache	Logan		['20th Century']	['improvement-era', '1944-dec']						
Grace A. Forsey Neal	female				26 May 1888	26 May 1888	26 May 1888	1888.0	May	26.0							26 Jun 1944	26 Jun 1944	26 Jun 1944	1944	Jun	26.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4709unse/page/n23)							Inglewood Ward, Inglewood Stake	Inglewood Ward, Inglewood Stake	Inglewood, Los Angeles, California, United States	Inglewood, Los Angeles, California, United States	Inglewood, California	United States	California	Los Angeles	Inglewood		Inglewood, Los Angeles, California, United States	United States	California	Los Angeles	Inglewood		['20th Century']	['improvement-era', '1944-sep']						
Johannes Nieman	male				24 Dec 1908	24 Dec 1908	24 Dec 1908	1908.0	Dec	24.0							2 Jul 1944	2 Jul 1944	2 Jul 1944	1944	Jul	2.0			deacon	excommunicated	[excommunicated](https://archive.org/details/improvementera4803unse/page/n35)							Sixteenth Ward, Riverside Stake	Sixteenth Ward, Riverside Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1945-mar']						
Alfred Dean Ball	male				14 May 1908	14 May 1908	14 May 1908	1908.0	May	14.0							7 Aug 1944	7 Aug 1944	7 Aug 1944	1944	Aug	7.0			deacon	excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Twenty-fifth Ward, Pioneer Stake	Twenty-fifth Ward, Pioneer Stake	Salt Lake City, Salt Lake, Utah, United States	[Salt Lake City, Salt Lake, Utah, United States](https://www.familysearch.org/wiki/en/Wards_and_Branches_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Pioneer_Stake,_Utah#Salt_Lake_City_25th_Ward)	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-dec']						
Arthur Van Steeter	male				2 Apr 1891	2 Apr 1891	2 Apr 1891	1891.0	Apr	2.0							10 Aug 1944	10 Aug 1944	10 Aug 1944	1944	Aug	10.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Magna Ward, Oquirrh Stake	Magna Ward, Oquirrh Stake	Magna, Salt Lake, Utah, United States	Magna, Salt Lake, Utah, United States	Magna, Utah	United States	Utah	Salt Lake	Magna		Magna, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Magna		['20th Century']	['improvement-era', '1944-dec']						
Sylvia A. Sheppard Van Steeter	female				7 Mar 1895	7 Mar 1895	7 Mar 1895	1895.0	Mar	7.0							10 Aug 1944	10 Aug 1944	10 Aug 1944	1944	Aug	10.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Magna Ward, Oquirrh Stake	Magna Ward, Oquirrh Stake	Magna, Salt Lake, Utah, United States	Magna, Salt Lake, Utah, United States	Magna, Utah	United States	Utah	Salt Lake	Magna		Magna, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Magna		['20th Century']	['improvement-era', '1944-dec']						
A. Demar Dudley	male				6 May 1901	6 May 1901	6 May 1901	1901.0	May	6.0							10 Aug 1944	10 Aug 1944	10 Aug 1944	1944	Aug	10.0			seventy	excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Jensen Ward, Uintah Stake	Jensen Ward, Uintah Stake	Jensen, Uintah, Utah, United States	Jensen, Uintah, Utah, United States	Jensen, Utah	United States	Utah	Uintah	Jensen		Jensen, Uintah, Utah, United States	United States	Utah	Uintah	Jensen		['20th Century']	['improvement-era', '1944-dec']						
Mada Ann Shelley Dudley	female				12 May 1900	12 May 1900	12 May 1900	1900.0	May	12.0							10 Aug 1944	10 Aug 1944	10 Aug 1944	1944	Aug	10.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Jensen Ward, Uintah Stake	Jensen Ward, Uintah Stake	Jensen, Uintah, Utah, United States	Jensen, Uintah, Utah, United States	Jensen, Utah	United States	Utah	Uintah	Jensen		Jensen, Uintah, Utah, United States	United States	Utah	Uintah	Jensen		['20th Century']	['improvement-era', '1944-dec']						
Ellwood Emil Schlaepfer	male				13 Jun 1910	13 Jun 1910	13 Jun 1910	1910.0	Jun	13.0							23 Aug 1944	23 Aug 1944	23 Aug 1944	1944	Aug	23.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4803unse/page/n35)									Manhattan, New York City, New York, New York, United States	Manhattan, New York City, New York, New York, United States	Manhattan, New York City, New York	United States	New York	New York	New York City	Manhattan	Manhattan, New York City, New York, New York, United States	United States	New York	New York	New York City	Manhattan	['20th Century']	['improvement-era', '1945-mar']						
Marion Cecila Kirkpatrick Butters	female				16 Apr 1902	16 Apr 1902	16 Apr 1902	1902.0	Apr	16.0							5 Sep 1944	5 Sep 1944	5 Sep 1944	1944	Sep	5.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							Eighth Ward, Liberty Stake	Eighth Ward, Liberty Stake	Salt Lake City, Salt Lake, Utah, United States	[Salt Lake City, Salt Lake, Utah, United States](https://www.familysearch.org/wiki/en/Wards_and_Branches_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Liberty_Stake,_Utah#Salt_Lake_City_8th_Ward)	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1944-dec']						
Maria (Tena) Rascon	female				24 May 1885	24 May 1885	24 May 1885	1885.0	May	24.0							9 Sep 1944	9 Sep 1944	9 Sep 1944	1944	Sep	9.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4712unse/page/n55)							El Paso, Spanish-American Mission	El Paso, Spanish-American Mission	El Paso, El Paso, Texas, United States	El Paso, El Paso, Texas, United States	El Paso, Texas	United States	Texas	El Paso	El Paso		El Paso, El Paso, Texas, United States	United States	Texas	El Paso	El Paso		['20th Century']	['improvement-era', '1944-dec']						
